EIA_Plant_ID,CEC_Plant_ID,CEC_PLANT_ID_UNIT_ID_(Combination_Key),Plant_Name,RPS_ID,ARB_ID,Unit,Start_Date,Retired_Unit,Retire_Date,CA-ISO_Resource_ID,CA-ISO_Generating_Unit_Name,Company_Owner_Name,City,County,Prime_Mover_Description,Prime_Energy_Source,Latitude,Longitude,CapacityMW2015,GenerationMWh2015,CapacityMW2014,GenerationMWh2014,CapacityMW2013,GenerationMWh2013,CapacityMW2012,GenerationMWh2012,CapacityMW2011,GenerationMWh2011,WaterDataAvail2015,Hours2015,Diversion2015,Withdrawal2015,Discharge2015,Consumption2015,WaterSource2015,CoolingIntakeGalMin2014,WaterDataAvail2014,Hours2014,Diversion2014,Withdrawal2014,Discharge2014,Consumption2014,WaterSource2014,CoolingIntakeGalMin2014,WaterDataAvail2013,Hours2013,Diversion2013,Withdrawal2013,Discharge2013,Consumption2013,WaterSource2013,CoolingIntakeGalMin2013,WaterDataAvail2012,Hours2012,Diversion2012,Withdrawal2012,Discharge2012,Consumption2012,WaterSource2012,CoolingIntakeGalMin2012,WaterDataAvail2011,Hours2011,Diversion2011,Withdrawal2011,Discharge2011,Consumption2011,WaterSource2011,CoolingIntakeGalMin2011
MISSING,B0001,B0001Unit 1,Vaca Dixon Battery Storage,,,Unit 1,41456,FALSE,,VACADX_1_NAS,Vaca Dixon Battery NAS,Pacific Gas & Electric (PG&E),Vacaville,Solano,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,,,,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10002,C0001,C0001GEN 1,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),,100001,GEN 1,33208,TRUE,41913,MCGEN_1_UNIT,,ACE Cogeneration Co,Trona,San Bernardino,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108,333205,108,320201,108,555437,108,779601,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,4616,0,9208.5,26030.2,7924.7,Wells,1701.07,1,4138,0,11021.9,2545.4,8476.5,Wells,1701.07,1,7643,0,3.2,1.2,2.4,Wells,3.79,1,7837,0,3.3,1.2,2.4,Wells,3.79
10601,C0002,C0002UNIT 1,Los Angeles Refinery - Calciner,,100002,UNIT 1,30286,FALSE,,HINSON_6_CARBGN,BP WILMINGTON CALCINER,Tesoro Refining & Marketing Company LLC,Wilmington,Los Angeles,Steam Turbine,PC,33.77697,-118.22821,35.8,229334,35.8,208442,35.8,193884,35.8,240157,35.8,219405,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Municipality,#N/A
54238,C0004,C0004GEN 1,Port of Stockton District Energy Facility - Retired Jan 2011,60964,104455,GEN 1,32843,TRUE,40544,COGNAT_1_UNIT,Stockton Biomas,DTE Stockton LLC,Stockton,San Joaquin,#N/A,#N/A,37.943633,-121.330433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.9,0.03,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Water Service,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Water Service,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Water Service,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Water Service,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Water Service,#N/A
56446,C0005,C00051,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,,,1,31564,TRUE,41274,,,Jackson Valley Energy Part LP,Ione,Amador,#N/A,#N/A,37.805,-121.6672,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.4,0.1,18.4,0.1,0,#N/A,#N/A,#N/A,#N/A,#N/A,n/a,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,n/a,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,n/a,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,n/a,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,n/a,#N/A
10373,C0007,C0007GEN 1,Hanford - Retired October 2011,,100004,GEN 1,33117,TRUE,40834,GWFPWR_6_UNIT,HANFORD L.P.,Hanford LP,Hanford,Kings,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,85575,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells & City of Hanford Water,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells & City of Hanford Water,#N/A
10367,C0008,C0008GEN 1,East Third Street Power Plant - Retired April 2012,,100005,GEN 1,33208,TRUE,41025,GWFPW1_6_UNIT,,GWF Power Systems LP,Pittsburg,Contra Costa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,9694.7,19,138078,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Conta Costa Water Dist.,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Conta Costa Water Dist.,#N/A
10368,C0009,C0009GEN 1,Loveridge Road Power Plant - Retired April 2012,,100006,GEN 1,32843,TRUE,41025,GWFPW2_1_UNIT 1,,GWF Power Systems LP,Pittsburg,Contra Costa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,17957.7,19,148727,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well Water,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Well Water,#N/A
10370,C0010,C0010GEN 1,Wilbur East Power Plant - Retired April 2012,,,GEN 1,32782,TRUE,41025,GWFPW3_1_UNIT 1,,GWF Power Systems LP,Antioch,Contra Costa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,17256.7,19,144972,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,City Of Antioch,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,City Of Antioch,#N/A
10369,C0011,C0011GEN 1,Wilbur West Power Plant - Retired April 2012,,100008,GEN 1,33086,TRUE,41025,GWFPW4_6_UNIT 1,,GWF Power Systems LP,Antioch,Contra Costa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,15142.7,19,141332,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,City Of Antioch,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,City Of Antioch,#N/A
10371,C0012,C0012GEN 1,Nichols Road Power Plant - Retired April 2012,,100009,GEN 1,32933,TRUE,41025,GWFPW5_6_UNIT 1,,GWF Power Systems LP,Bay Point,Contra Costa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,17666,19,146088,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Cities Water,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,California Cities Water,#N/A
54626,C0016,C0016S/N 412585,Mt. Poso Cogeneration - Retired November 2011,,,S/N 412585,32387,TRUE,40848,MTNPOS_1_UNIT,MT. POSO COGENERATION CO.,Mt Poso Cogeneration Co,Bakersfield,Kern,#N/A,#N/A,35.576323,-119.006245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.6,143917,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A
10684,C0017,C0017TG #5,Argus Cogen Plant,,100011,TG #5,17502,FALSE,,SEARLS_7_ARGUS,"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)",Karnavati Holdings Inc,Trona,San Bernardino,Steam Turbine,NG,35.765,-117.3833,7.5,1862.1,7.5,0.12,7.5,1.11,7.5,708.08,7.5,3.09,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A
10684,C0017,C0017TG #8,Argus Cogen Plant,,100011,TG #8,28611,FALSE,,SEARLS_7_ARGUS,"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)",Karnavati Holdings Inc,Trona,San Bernardino,Steam Turbine,BIT,35.765,-117.3833,27.5,154406,27.5,140187,27.5,163120,27.5,164426,27.5,162075,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Wells,#N/A
